Date,USD,CPI,Wage
2015-01-01,21.50,105.2,8520
2015-02-01,21.65,105.8,8550
2015-03-01,21.40,106.1,8490
2015-04-01,21.80,106.5,8610
2015-05-01,22.10,107.0,8650
2015-06-01,21.90,107.4,8580
2015-07-01,22.05,107.9,8620
2015-08-01,22.30,108.3,8700
2015-09-01,22.50,108.8,8750
2015-10-01,22.80,109.4,8810
2015-11-01,23.10,110.1,8900
2015-12-01,23.50,111.0,10500
2016-01-01,23.80,111.5,9100
2016-02-01,24.10,112.2,9200
2016-03-01,24.30,112.9,9250
2016-04-01,24.50,113.5,9350
2016-05-01,24.20,114.0,9300
2016-06-01,24.40,114.6,9400
2016-07-01,24.60,115.1,9450
2016-08-01,24.90,115.8,9550
2016-09-01,25.20,116.5,9650
2016-10-01,25.50,117.2,9750
2016-11-01,25.80,118.0,9850
2016-12-01,26.10,118.8,11800
2017-01-01,26.30,119.5,10100
2017-02-01,26.50,120.2,10200
2017-03-01,26.40,120.8,10150
2017-04-01,26.60,121.5,10250
2017-05-01,26.50,122.1,10220
2017-06-01,26.70,122.8,10300
2017-07-01,26.90,123.5,10400
2017-08-01,27.10,124.2,10500
2017-09-01,27.30,125.0,10600
2017-10-01,27.50,125.8,10700
2017-11-01,27.80,126.6,10800
2017-12-01,28.00,127.5,12500
2018-01-01,28.20,128.2,11000
2018-02-01,28.10,128.8,10950
2018-03-01,28.30,129.5,11050
2018-04-01,28.50,130.2,11150
2018-05-01,28.70,131.0,11250
2018-06-01,28.90,131.8,11350
2018-07-01,29.10,132.5,11450
2018-08-01,29.30,133.3,11550
2018-09-01,29.50,134.1,11650
2018-10-01,29.80,135.0,11800
2018-11-01,30.10,136.0,11950
2018-12-01,30.50,137.0,14000
2019-01-01,31.00,138.0,12200
2019-02-01,31.50,139.2,12400
2019-03-01,32.00,140.5,12600
2019-04-01,33.50,142.0,12900
2019-05-01,35.00,144.5,13300
2019-06-01,37.50,148.0,13800
2019-07-01,40.00,152.0,14500
2019-08-01,42.00,156.5,15500
2019-09-01,43.50,161.0,16500
2019-10-01,44.50,165.5,17500
2019-11-01,45.00,170.0,18500
2019-12-01,45.50,174.5,22000
2020-01-01,45.20,175.0,18800
2020-02-01,45.80,176.2,19000
2020-03-01,46.10,177.5,19200
2020-04-01,46.50,178.8,19400
2020-05-01,46.20,179.5,19300
2020-06-01,46.60,180.8,19500
2020-07-01,46.90,182.1,19700
2020-08-01,47.20,183.5,19900
2020-09-01,47.50,184.9,20100
2020-10-01,47.80,186.4,20300
2020-11-01,48.10,187.9,20500
2020-12-01,48.50,189.5,24500
2021-01-01,48.80,190.2,20800
2021-02-01,49.10,191.0,21000
2021-03-01,49.40,191.8,21200
2021-04-01,49.70,192.6,21400
2021-05-01,50.00,193.5,21600
2021-06-01,50.30,194.4,21800
2021-07-01,50.60,195.3,22000
2021-08-01,50.90,196.2,22200
2021-09-01,51.20,197.1,22400
2021-10-01,51.50,198.0,22600
2021-11-01,51.80,198.9,22800
2021-12-01,52.10,199.8,27000
2022-01-01,52.50,200.5,23100
2022-02-01,52.80,201.2,23300
2022-03-01,53.10,202.0,23500
2022-04-01,53.40,202.8,23700
2022-05-01,53.70,203.6,23900
2022-06-01,54.00,204.4,24100
2022-07-01,54.30,205.2,24300
2022-08-01,54.60,206.0,24500
2022-09-01,54.90,206.8,24700
2022-10-01,55.20,207.6,24900
2022-11-01,55.50,208.4,25100
2022-12-01,55.80,209.2,29500
2023-01-01,56.20,210.0,25400
2023-02-01,56.50,210.8,25600
2023-03-01,56.80,211.6,25800
2023-04-01,57.10,212.4,26000
2023-05-01,57.40,213.2,26200
2023-06-01,57.70,214.0,26400
2023-07-01,58.00,214.8,26600
2023-08-01,58.30,215.6,26800
2023-09-01,58.60,216.4,27000
2023-10-01,58.90,217.2,27200
2023-11-01,59.20,218.0,27400
2023-12-01,59.50,218.8,32000
2024-01-01,59.90,219.5,27800
2024-02-01,60.20,220.2,28000
2024-03-01,60.50,221.0,28200
2024-04-01,60.80,221.8,28400
2024-05-01,61.10,222.6,28600
2024-06-01,61.40,223.4,28800
2024-07-01,61.70,224.2,29000
2024-08-01,62.00,225.0,29200
2024-09-01,62.30,225.8,29400
2024-10-01,62.60,226.6,29600
2024-11-01,62.90,227.4,29800
2024-12-01,63.20,228.2,35000
