date,TARGET_LINEAR,BASE_TREND_SEASONAL
2005-01-01,100.0,100.99
2005-02-01,102.02,105.22
2005-03-01,106.71,110.96
2005-04-01,116.29,114.55
2005-05-01,117.51,110.19
2005-06-01,117.96,107.03
2005-07-01,114.66,106.16
2005-08-01,106.09,100.03
2005-09-01,94.54,94.4
2005-10-01,91.52,90.34
2005-11-01,83.26,87.07
2005-12-01,81.66,85.46
2006-01-01,93.12,90.29
2006-02-01,104.31,95.52
2006-03-01,116.39,97.16
2006-04-01,118.36,104.62
2006-05-01,122.97,110.84
2006-06-01,126.87,109.13
2006-07-01,123.73,109.06
2006-08-01,116.5,104.63
2006-09-01,104.91,100.21
2006-10-01,96.89,98.99
2006-11-01,92.74,97.73
2006-12-01,95.42,95.34
2007-01-01,102.88,102.32
2007-02-01,111.12,104.88
2007-03-01,123.23,112.76
2007-04-01,129.04,117.26
2007-05-01,136.5,119.59
2007-06-01,139.23,119.43
2007-07-01,135.05,118.57
2007-08-01,124.62,116.09
2007-09-01,115.25,111.84
2007-10-01,110.1,110.27
2007-11-01,104.54,107.94
2007-12-01,105.38,107.67
2008-01-01,118.26,113.58
2008-02-01,129.9,119.67
2008-03-01,140.86,123.12
2008-04-01,149.92,129.81
2008-05-01,157.06,130.7
2008-06-01,158.77,131.55
2008-07-01,155.01,131.48
2008-08-01,144.25,125.64
2008-09-01,130.24,121.46
2008-10-01,122.76,120.0
2008-11-01,117.49,118.76
2008-12-01,117.61,118.79
2009-01-01,126.4,123.26
2009-02-01,137.31,129.73
2009-03-01,147.21,132.33
2009-04-01,156.94,139.93
2009-05-01,163.67,140.61
2009-06-01,164.72,143.21
2009-07-01,161.71,141.18
2009-08-01,152.75,140.3
2009-09-01,142.0,135.47
2009-10-01,133.16,135.38
2009-11-01,130.21,133.01
2009-12-01,131.16,132.68
2010-01-01,142.61,138.03
2010-02-01,153.62,145.07
2010-03-01,166.82,148.3
2010-04-01,176.05,153.44
2010-05-01,182.05,154.15
2010-06-01,184.65,157.97
2010-07-01,182.71,156.64
2010-08-01,170.83,152.13
2010-09-01,160.16,150.51
2010-10-01,154.14,150.73
2010-11-01,147.27,149.63
2010-12-01,146.33,149.91
2011-01-01,160.07,155.14
2011-02-01,170.53,159.54
2011-03-01,182.87,163.72
2011-04-01,192.9,170.57
2011-05-01,201.39,172.03
2011-06-01,202.48,173.73
2011-07-01,197.97,172.7
2011-08-01,189.46,170.08
2011-09-01,174.95,167.09
2011-10-01,167.95,164.18
2011-11-01,167.08,165.48
2011-12-01,170.39,164.77
2012-01-01,182.4,169.73
2012-02-01,191.81,177.38
2012-03-01,207.43,180.48
2012-04-01,213.86,185.04
2012-05-01,220.04,185.76
2012-06-01,221.18,186.63
2012-07-01,216.93,187.77
2012-08-01,207.41,183.34
2012-09-01,195.24,181.96
2012-10-01,190.13,181.24
2012-11-01,186.68,181.01
2012-12-01,187.72,182.71
2013-01-01,198.84,186.84
2013-02-01,211.23,192.8
2013-03-01,224.69,197.73
2013-04-01,233.79,201.3
2013-05-01,240.84,203.38
2013-06-01,244.28,205.57
2013-07-01,239.68,204.28
2013-08-01,228.93,201.83
2013-09-01,217.83,199.96
2013-10-01,211.51,199.91
2013-11-01,205.65,198.83
2013-12-01,208.35,200.41
2014-01-01,216.99,205.6
2014-02-01,228.42,210.24
2014-03-01,242.88,215.74
2014-04-01,250.64,219.96
2014-05-01,258.13,222.7
2014-06-01,259.76,223.71
2014-07-01,257.16,222.19
2014-08-01,246.15,218.94
2014-09-01,236.45,217.53
2014-10-01,229.58,217.45
2014-11-01,226.56,216.52
2014-12-01,230.66,218.59
2015-01-01,241.51,222.33
2015-02-01,252.54,229.25
2015-03-01,266.41,233.24
2015-04-01,277.8,237.35
2015-05-01,284.24,239.27
2015-06-01,287.91,241.44
2015-07-01,286.52,241.27
2015-08-01,275.3,237.84
2015-09-01,263.2,234.68
2015-10-01,259.22,234.42
2015-11-01,255.88,234.46
2015-12-01,258.96,236.79
2016-01-01,267.52,240.06
2016-02-01,278.75,246.99
2016-03-01,292.67,249.73
2016-04-01,303.81,255.87
2016-05-01,310.2,257.26
2016-06-01,313.1,259.09
2016-07-01,310.82,258.26
2016-08-01,301.59,255.91
2016-09-01,291.76,253.67
2016-10-01,288.1,254.87
2016-11-01,283.42,253.96
2016-12-01,284.67,254.55
2017-01-01,297.12,260.14
2017-02-01,308.09,266.14
2017-03-01,321.68,270.41
2017-04-01,332.55,274.43
2017-05-01,339.84,276.63
2017-06-01,342.31,278.67
2017-07-01,338.07,278.49
2017-08-01,327.78,274.07
2017-09-01,316.19,272.46
2017-10-01,310.61,272.32
2017-11-01,306.43,272.15
2017-12-01,308.06,272.81
2018-01-01,317.08,278.69
2018-02-01,328.74,284.11
2018-03-01,342.44,290.18
2018-04-01,350.63,294.49
2018-05-01,357.35,295.48
2018-06-01,361.37,298.25
2018-07-01,356.95,297.86
2018-08-01,347.79,296.81
2018-09-01,338.9,293.63
2018-10-01,331.8,293.96
2018-11-01,329.47,294.79
2018-12-01,331.15,294.91
2019-01-01,343.65,300.82
2019-02-01,354.69,308.37
2019-03-01,367.41,310.72
2019-04-01,378.71,314.99
2019-05-01,385.81,316.54
2019-06-01,388.34,320.01
2019-07-01,384.74,318.96
2019-08-01,374.87,318.24
2019-09-01,363.2,314.33
2019-10-01,358.99,313.83
2019-11-01,352.41,313.32
2019-12-01,355.46,313.89
