date,TARGET_NONLINEAR,BASE_AR1
2005-01-01,4007.01,100.0
2005-02-01,4529.44,114.96
2005-03-01,4730.25,114.72
2005-04-01,4600.46,87.71
2005-05-01,4596.52,82.72
2005-06-01,4172.78,112.67
2005-07-01,4834.82,72.47
2005-08-01,4602.02,74.3
2005-09-01,3762.91,101.0
2005-10-01,3697.48,97.43
2005-11-01,3467.2,90.06
2005-12-01,3540.98,83.47
2006-01-01,3300.84,78.61
2006-02-01,3526.69,72.01
2006-03-01,3578.51,79.6
2006-04-01,2933.31,56.01
2006-05-01,2917.47,57.43
2006-06-01,3350.61,63.86
2006-07-01,3278.71,62.02
2006-08-01,3223.97,59.43
2006-09-01,3640.13,68.73
2006-10-01,3216.61,56.33
2006-11-01,3239.53,60.02
2006-12-01,3234.69,63.43
2007-01-01,3518.31,65.85
2007-02-01,3384.95,62.42
2007-03-01,3231.74,60.56
2007-04-01,3735.47,70.29
2007-05-01,3620.9,67.87
2007-06-01,3558.04,67.44
2007-07-01,3837.12,73.07
2007-08-01,3761.35,72.92
2007-09-01,3471.66,65.43
2007-10-01,3993.72,80.68
2007-11-01,3939.5,75.28
2007-12-01,3513.21,63.31
2008-01-01,3759.16,68.42
2008-02-01,4033.14,79.08
2008-03-01,4122.56,77.98
2008-04-01,4174.98,80.32
2008-05-01,4294.47,84.15
2008-06-01,4352.08,83.61
2008-07-01,4210.66,78.66
2008-08-01,4488.31,92.34
2008-09-01,4211.4,84.53
2008-10-01,4442.45,88.42
2008-11-01,4389.08,89.92
2008-12-01,4590.96,94.2
2009-01-01,4720.24,96.65
2009-02-01,4717.68,95.29
2009-03-01,4524.69,89.87
2009-04-01,5037.64,104.2
2009-05-01,4789.21,95.96
2009-06-01,5087.83,101.91
2009-07-01,5003.24,98.93
2009-08-01,4996.4,99.86
2009-09-01,4933.15,98.68
2009-10-01,4898.37,96.77
2009-11-01,4754.68,93.57
2009-12-01,5205.49,104.01
2010-01-01,4930.58,96.33
2010-02-01,5182.77,104.09
2010-03-01,5256.47,104.21
2010-04-01,5112.72,98.97
2010-05-01,5378.36,106.38
2010-06-01,5000.09,93.47
2010-07-01,5280.14,101.24
2010-08-01,5163.68,97.61
2010-09-01,5072.39,95.21
2010-10-01,5226.4,99.46
2010-11-01,4940.92,92.62
2010-12-01,4921.02,92.18
2011-01-01,5034.26,95.68
2011-02-01,4674.91,86.15
2011-03-01,4701.17,89.24
2011-04-01,4382.19,80.44
2011-05-01,4322.29,78.56
2011-06-01,4112.36,72.93
2011-07-01,3934.84,68.62
2011-08-01,3921.72,71.73
2011-09-01,3775.28,70.06
2011-10-01,3440.7,62.16
2011-11-01,3510.76,63.76
2011-12-01,3371.46,60.17
2012-01-01,3386.34,62.36
2012-02-01,3218.93,59.74
2012-03-01,3280.44,60.77
2012-04-01,3278.51,61.54
2012-05-01,3330.13,60.82
2012-06-01,3306.82,61.46
2012-07-01,3351.48,61.88
2012-08-01,3431.64,64.09
2012-09-01,3479.11,64.46
2012-10-01,3303.38,59.91
2012-11-01,3580.16,67.5
2012-12-01,3574.91,65.4
2013-01-01,3790.99,71.78
2013-02-01,3757.87,69.46
2013-03-01,3903.59,72.34
2013-04-01,3906.84,71.55
2013-05-01,3949.11,73.62
2013-06-01,4370.09,84.37
2013-07-01,4212.35,78.6
2013-08-01,4267.26,81.16
2013-09-01,4476.01,85.73
2013-10-01,4610.86,89.42
2013-11-01,4568.64,88.85
2013-12-01,4687.63,93.29
2014-01-01,4729.6,93.92
2014-02-01,4836.86,98.24
2014-03-01,4988.09,100.46
2014-04-01,4796.38,93.01
2014-05-01,5019.68,103.34
2014-06-01,4880.7,97.76
2014-07-01,4947.24,100.1
2014-08-01,5038.75,102.05
2014-09-01,5028.03,99.29
2014-10-01,4782.79,89.89
2014-11-01,5060.92,100.38
2014-12-01,4923.65,94.06
2015-01-01,4749.73,91.08
2015-02-01,4687.64,88.51
2015-03-01,4851.69,92.16
2015-04-01,4742.65,87.77
2015-05-01,4839.8,95.05
2015-06-01,4766.98,91.75
2015-07-01,4715.93,89.6
2015-08-01,5017.54,99.77
2015-09-01,4932.43,97.52
2015-10-01,5083.51,104.12
2015-11-01,5233.59,107.83
2015-12-01,5139.64,103.78
2016-01-01,5355.7,111.23
2016-02-01,5148.94,104.88
2016-03-01,5397.86,111.0
2016-04-01,5431.99,112.4
2016-05-01,5441.35,110.59
2016-06-01,5755.62,120.12
2016-07-01,5505.61,112.71
2016-08-01,5673.47,118.26
2016-09-01,5817.38,121.1
2016-10-01,5887.37,122.9
2016-11-01,5784.13,119.54
2016-12-01,5960.09,125.14
2017-01-01,6067.24,127.17
2017-02-01,6036.31,125.04
2017-03-01,6171.12,128.16
2017-04-01,6200.25,129.43
2017-05-01,6122.26,125.68
2017-06-01,6167.37,126.97
2017-07-01,6172.49,126.25
2017-08-01,6056.57,123.13
2017-09-01,5972.78,121.88
2017-10-01,5818.53,117.75
2017-11-01,5991.26,120.8
2017-12-01,5754.61,114.37
2018-01-01,5750.32,115.17
2018-02-01,5724.51,112.89
2018-03-01,5738.41,113.31
2018-04-01,5603.74,108.87
2018-05-01,5689.36,111.14
2018-06-01,5576.46,107.03
2018-07-01,5347.08,99.48
2018-08-01,5549.81,103.28
2018-09-01,5449.32,100.82
2018-10-01,5412.88,99.41
2018-11-01,5246.47,96.28
2018-12-01,5390.27,99.94
2019-01-01,5285.3,97.25
2019-02-01,5496.51,102.78
2019-03-01,5403.16,99.46
2019-04-01,5366.66,97.25
2019-05-01,5529.33,103.03
2019-06-01,5619.29,105.9
2019-07-01,5559.67,103.8
2019-08-01,5512.59,102.71
2019-09-01,5705.74,108.06
2019-10-01,5407.8,98.93
2019-11-01,5687.63,107.7
2019-12-01,5801.0,111.75
