date,wage_nominal_uah,employed_mln,budget_revenue_bln_uah,pit_bln_uah
2005-01-01,665.32,19.853,30.859,8.222
2005-02-01,692.01,19.688,30.972,8.638
2005-03-01,688.7,19.795,32.495,8.576
2005-04-01,688.94,19.881,34.123,9.475
2005-05-01,737.37,20.143,37.622,10.411
2005-06-01,741.5,20.253,38.759,10.196
2005-07-01,809.34,20.434,42.375,11.516
2005-08-01,771.75,20.295,39.059,10.741
2005-09-01,754.08,20.075,38.663,9.754
2005-10-01,803.41,20.23,39.643,11.215
2005-11-01,846.1,20.204,43.196,11.882
2005-12-01,954.75,19.844,47.005,13.084
2006-01-01,765.94,19.546,35.967,9.966
2006-02-01,786.12,19.579,35.579,8.728
2006-03-01,814.83,19.756,41.663,11.69
2006-04-01,842.77,19.921,43.226,11.146
2006-05-01,928.36,20.039,43.818,10.458
2006-06-01,938.34,19.903,48.248,12.48
2006-07-01,1017.52,20.255,51.505,14.647
2006-08-01,958.88,20.157,50.137,13.578
2006-09-01,963.67,19.73,45.94,12.557
2006-10-01,1011.19,19.973,51.32,13.566
2006-11-01,1091.83,20.059,56.802,15.374
2006-12-01,1252.84,19.772,60.179,16.277
2007-01-01,969.77,19.226,44.962,12.333
2007-02-01,1041.16,19.105,48.31,13.157
2007-03-01,1055.38,19.206,55.89,15.585
2007-04-01,1100.31,19.229,55.515,16.316
2007-05-01,1213.45,19.384,61.734,18.083
2007-06-01,1221.1,19.604,64.799,18.43
2007-07-01,1354.67,19.591,70.759,18.311
2007-08-01,1297.27,19.53,69.241,16.949
2007-09-01,1305.59,19.256,62.633,17.441
2007-10-01,1387.71,19.586,72.008,18.835
2007-11-01,1520.2,19.632,78.522,21.964
2007-12-01,1738.82,19.225,84.471,22.603
2008-01-01,1299.41,18.926,61.576,16.457
2008-02-01,1439.5,18.949,68.972,17.888
2008-03-01,1491.59,19.207,80.507,21.095
2008-04-01,1546.91,19.24,79.039,20.863
2008-05-01,1713.86,19.276,88.64,23.152
2008-06-01,1699.45,19.279,90.431,24.463
2008-07-01,1818.98,19.378,86.866,24.561
2008-08-01,1782.38,19.347,88.908,23.64
2008-09-01,1760.64,19.231,83.166,23.485
2008-10-01,1783.24,19.236,73.067,19.342
2008-11-01,1897.69,19.225,77.736,22.264
2008-12-01,1901.66,18.919,78.061,23.51
2009-01-01,1582.08,18.517,56.636,16.202
2009-02-01,1633.42,18.581,55.349,16.242
2009-03-01,1666.31,18.752,58.767,17.461
2009-04-01,1738.88,18.69,61.202,17.649
2009-05-01,1841.01,18.838,61.753,16.972
2009-06-01,1844.52,18.821,60.49,16.7
2009-07-01,2025.74,19.047,69.254,18.704
2009-08-01,1935.89,18.993,75.587,20.867
2009-09-01,1899.23,18.646,71.659,18.739
2009-10-01,2040.48,19.07,77.762,21.024
2009-11-01,2190.93,18.964,82.375,22.173
2009-12-01,2458.78,18.552,96.181,26.432
2010-01-01,1839.72,18.189,76.397,21.729
2010-02-01,1990.57,18.136,73.604,20.033
2010-03-01,2011.89,18.357,86.529,23.767
2010-04-01,2120.74,18.307,83.322,24.065
2010-05-01,2256.9,18.386,98.253,26.822
2010-06-01,2333.84,18.328,99.772,25.676
2010-07-01,2507.42,18.458,104.284,27.587
2010-08-01,2485.54,18.385,102.738,28.185
2010-09-01,2408.45,18.262,97.743,26.366
2010-10-01,2555.03,18.378,104.184,29.484
2010-11-01,2793.92,18.458,122.105,35.066
2010-12-01,3155.67,18.049,126.297,32.793
2011-01-01,2464.59,17.835,101.761,25.54
2011-02-01,2670.1,17.91,105.506,29.163
2011-03-01,2707.07,18.13,115.967,32.792
2011-04-01,2812.48,18.066,113.738,31.61
2011-05-01,3075.3,18.054,136.341,37.537
2011-06-01,3116.93,17.982,133.737,36.548
2011-07-01,3390.48,18.299,146.721,39.074
2011-08-01,3253.45,18.013,139.93,39.134
2011-09-01,3286.83,18.03,135.932,36.356
2011-10-01,3473.27,18.389,147.968,41.389
2011-11-01,3831.3,18.253,162.48,44.549
2011-12-01,4335.88,17.825,189.238,52.261
2012-01-01,3313.5,17.759,142.286,39.593
2012-02-01,3530.67,17.727,149.761,41.385
2012-03-01,3692.41,17.86,156.827,44.695
2012-04-01,3746.54,17.882,162.495,44.11
2012-05-01,4172.13,18.037,180.642,45.237
2012-06-01,4194.14,17.961,183.394,51.97
2012-07-01,4482.32,17.926,196.559,52.999
2012-08-01,4292.12,18.056,188.619,52.985
2012-09-01,4297.1,17.898,188.103,51.939
2012-10-01,4583.77,18.182,202.923,57.227
2012-11-01,4928.14,17.979,221.521,60.326
2012-12-01,5593.77,17.73,246.048,66.727
2013-01-01,4312.83,17.52,180.877,49.662
2013-02-01,4587.2,17.461,189.406,48.091
2013-03-01,4666.08,17.745,215.705,58.012
2013-04-01,4828.13,17.926,215.074,58.998
2013-05-01,5312.19,18.021,244.221,64.413
2013-06-01,5256.14,17.867,236.224,63.607
2013-07-01,5756.52,18.097,262.574,68.64
2013-08-01,5552.03,18.037,247.521,68.186
2013-09-01,5479.01,17.854,238.754,65.85
2013-10-01,5963.09,18.155,278.921,72.772
2013-11-01,6470.15,18.131,298.792,80.512
2013-12-01,7279.45,17.811,333.641,85.872
2014-01-01,5587.5,17.473,249.574,63.772
2014-02-01,5888.88,17.31,260.645,70.993
2014-03-01,6195.93,17.549,219.258,59.132
2014-04-01,6473.89,17.51,226.009,62.004
2014-05-01,7120.89,17.478,236.938,65.852
2014-06-01,7068.18,17.221,225.07,61.996
2014-07-01,7704.65,17.344,259.536,69.648
2014-08-01,7355.78,17.29,225.453,60.391
2014-09-01,7545.18,17.112,237.832,64.488
2014-10-01,8144.65,17.528,277.302,77.439
2014-11-01,8701.91,17.346,302.706,80.62
2014-12-01,10540.79,17.021,359.598,93.879
2015-01-01,8250.13,16.615,255.847,70.139
2015-02-01,8851.38,16.554,268.116,71.591
2015-03-01,9158.1,16.652,274.093,70.898
2015-04-01,9085.88,16.827,277.193,74.198
2015-05-01,10077.64,16.783,303.129,80.078
2015-06-01,10131.19,16.542,302.327,78.667
2015-07-01,11566.88,16.98,358.12,94.953
2015-08-01,10642.35,16.999,335.36,85.721
2015-09-01,11190.44,16.693,336.782,90.505
2015-10-01,12085.17,17.043,363.158,100.898
2015-11-01,13160.13,16.788,410.337,106.468
2015-12-01,15192.22,16.428,466.218,126.844
2016-01-01,11515.2,16.188,355.785,92.643
2016-02-01,12238.15,16.045,374.752,99.143
2016-03-01,12674.96,16.309,385.636,97.166
2016-04-01,12947.95,16.264,395.978,102.695
2016-05-01,14318.21,16.194,412.533,110.498
2016-06-01,14262.61,16.111,415.161,109.429
2016-07-01,15740.09,16.42,467.899,124.715
2016-08-01,15329.88,16.43,448.114,118.562
